dim_a,dim_b,flow1,flow2,freq
296,438,10,10,2.3041
290,321,10,20,4.6083
250,269,10,30,5.7604
238,253,10,40,8.0645
202,216,10,50,13.8249
221,236,10,60,9.2166
216,229,10,70,6.9124
214,224,10,80,9.2166
208,220,10,90,11.5207
199,210,10,110,9.2166
210,224,10,120,13.8249
296,862,20,5,3.4562
301,522,20,10,5.7604
294,403,20,20,6.9124
281,307,20,40,9.2166
243,267,20,60,13.8249
228,242,20,80,16.1290
217,241,20,100,27.6498
211,228,20,120,23.0415
304,530,5,5,2.3041
299,424,5,10,2.3041
285,314,5,30,1.7281
255,278,5,40,3.4562
195,205,5,50,8.0645
289,552,40,10,9.2166
305,471,40,20,10.3687
299,407,40,40,13.8249
266,294,40,60,20.7373
245,264,40,80,29.9539
240,260,40,100,36.8664
239,266,40,120,27.6498
296,586,60,20,10.3687
297,465,60,40,16.1290
289,384,60,60,20.7373
288,327,60,80,27.6498
274,300,60,100,27.6498
259,288,60,120,36.8664
291,510,80,40,20.7373
294,433,80,60,25.3456
275,403,80,80,27.6498
276,402,80,100,36.8664
